"            <div class=""geolocation"" data-lat=""-37.818486502251"" data-lng=""145.17626613378""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Maroondah Highway at the intersection of Maroondah Highway and Springvale Road, Nunawading","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.799249254255"" data-lng=""144.98720124364""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Johnston Street at the intersection of Johnston Street and Wellington Street, Collingwood","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.774961378907"" data-lng=""144.79384750128""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Western Ring Road, Northbound Western Highway Off Ramp / South Side Gantry, Deer Park","                                        <a href=""/how-cameras-work/camera-types#freeway"">Freeway</a>"
"            <div class=""geolocation"" data-lat=""-36.381175157975"" data-lng=""145.39921939373""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Wyndham Street at the intersection of Wyndham Street and High Street, Shepparton","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.949365"" data-lng=""145.046173""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Nepean Highway at the intersection of Nepean Highway and Highett Road, Highett","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.852393239085"" data-lng=""145.1520960778""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Blackburn Road at the intersection of Blackburn Road and Burwood Highway, Burwood East","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.82583635884"" data-lng=""145.28762072325""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Dorset Road at the intersection of Dorset Road and Canterbury Road, Bayswater North","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.867096581319"" data-lng=""144.98127490282""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Barkly Street at the intersection of Barkly Street and Carlisle Street, St Kilda","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.836017"" data-lng=""145.195165""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    At the intersection of Canterbury Road and Mitcham Road, Vermont","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.819782685348"" data-lng=""144.96010757983""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    William Street at the intersection of William Street and Flinders Street, Melbourne","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.888724056316"" data-lng=""145.29488146305""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Burwood Highway at the intersection of Burwood Highway and Brenock Park Drive, Ferntree Gully","                                <a href=""/how-cameras-work/camera-types#intersection"">Intersection</a>"
"            <div class=""geolocation"" data-lat=""-37.743722"" data-lng=""144.989013""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Bell Street at the intersection of Bell Street and Gilbert Road, Preston","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
"            <div class=""geolocation"" data-lat=""-37.736385"" data-lng=""144.990488""  data-icon=""/profiles/camerassavelives/themes/camerassavelives_bootstrap/images/csl-mapmarker.png""  >","    Gilbert Road at the intersection of Gilbert Road and Murray Road, Preston","                <a href=""/how-cameras-work/camera-types/red-light-cameras#wetfilm"">Wet film</a>"
